id,gender,age,mask,path,gender_class,age_class,mask_class
0,female,45,Wear,./data/train/images/000001_female_Asian_45/mask4.jpg,1,1,0
0,female,45,NotWear,./data/train/images/000001_female_Asian_45/normal.jpg,1,1,2
0,female,45,Wear,./data/train/images/000001_female_Asian_45/mask2.jpg,1,1,0
0,female,45,Wear,./data/train/images/000001_female_Asian_45/mask5.jpg,1,1,0
0,female,45,Incorrect,./data/train/images/000001_female_Asian_45/incorrect_mask.jpg,1,1,1
0,female,45,Wear,./data/train/images/000001_female_Asian_45/mask1.jpg,1,1,0
0,female,45,Wear,./data/train/images/000001_female_Asian_45/mask3.jpg,1,1,0
1,female,52,Wear,./data/train/images/000002_female_Asian_52/mask4.jpg,1,1,0
1,female,52,NotWear,./data/train/images/000002_female_Asian_52/normal.jpg,1,1,2
1,female,52,Wear,./data/train/images/000002_female_Asian_52/mask2.jpg,1,1,0
1,female,52,Wear,./data/train/images/000002_female_Asian_52/mask5.jpg,1,1,0
1,female,52,Incorrect,./data/train/images/000002_female_Asian_52/incorrect_mask.jpg,1,1,1
1,female,52,Wear,./data/train/images/000002_female_Asian_52/mask1.jpg,1,1,0
1,female,52,Wear,./data/train/images/000002_female_Asian_52/mask3.jpg,1,1,0
2,male,54,Wear,./data/train/images/000004_male_Asian_54/mask4.jpg,0,1,0
2,male,54,NotWear,./data/train/images/000004_male_Asian_54/normal.jpg,0,1,2
2,male,54,Wear,./data/train/images/000004_male_Asian_54/mask2.jpg,0,1,0
2,male,54,Wear,./data/train/images/000004_male_Asian_54/mask5.jpg,0,1,0
2,male,54,Incorrect,./data/train/images/000004_male_Asian_54/incorrect_mask.jpg,0,1,1
2,male,54,Wear,./data/train/images/000004_male_Asian_54/mask1.jpg,0,1,0
2,male,54,Wear,./data/train/images/000004_male_Asian_54/mask3.jpg,0,1,0
3,female,58,Wear,./data/train/images/000005_female_Asian_58/mask4.jpg,1,1,0
3,female,58,NotWear,./data/train/images/000005_female_Asian_58/normal.jpg,1,1,2
3,female,58,Wear,./data/train/images/000005_female_Asian_58/mask2.jpg,1,1,0
3,female,58,Wear,./data/train/images/000005_female_Asian_58/mask5.jpg,1,1,0
3,female,58,Incorrect,./data/train/images/000005_female_Asian_58/incorrect_mask.jpg,1,1,1
